fecha,escenario,artista,hora_inicio,hora_fin,soundcheck,notas,estado_referencia
15/07/2026,Escenario Principal,Neón,15:30,16.00,2:00 PM,,OK
17/07/2026,Escenario Principal,Topacio,2100,22:00,,Patrocinado por Red Bull,OK
16/07/2026,Escenario Rio,Los Olvidados,16.00,1800,15:00,,OK
15/07/2026,Esc. Sol,Código Rojo,18.30,19:30,1700,	Equipo propio de sonido	,OK
17/07/2026,Escenario Rio,Cuarto Creciente,17.30,6:00 PM,,Patrocinado por Red Bull,OK
15/07/2026,Escenario Sol,Aurora Boreal,22.00,18:00,16:00,Error horario posible,OK
16/07/2026,Escenario Bosque,Silencio Roto,14:00,3:30 PM,1300,,OK
15/07/2026,Escenario Luna,Wisteria,12.30,2:00 PM,1000,IMPORTANTE: carga eléctrica extra,OK
17/07/2026,Escenario Sol,Sístole,1130,12:00 PM,9:00 AM,,OK
15/07/2026,Escenario Luna,Loto,16.30,17:00,14:00,,OK
15/07/2026,Esc. Luna,Amanecer,22.00,23:00,20:00,"
Cambio de última hora
",OK
17/07/2026,Escenario Rio,Los Satélites,8:00 PM,2130,,Necesita piano de cola,OK
16/07/2026,Escenario Sol,Oasis Sonoro,12:00 PM,,,,OK
15/07/2026,Esc. Río,Sonido Ancestral,19.30,20.00,18.00,Patrocinado por Red Bull,OK
16/07/2026,Main Stage,Gaviota,1:30,3:30,23:00,Artista confirmado,OK
16/07/2026,Escenario Sol,Sombra Latina,1600,17.00,15.00,,OK
16/07/2026,Escenario Río,Sin Datos,1:00 PM,17.00,,,REVISAR
16/07/2026,Escenario Bosque,Tempestad,19:00,20:00,5:00 PM,	Equipo propio de sonido	,OK
16/07/2026,Escenario Luna,Radio Pirata,18.30,1930,1700,IMPORTANTE: carga eléctrica extra,OK
16/07/2026,Escenario Río,Ébano,22:00,23:00,20.00,Necesita piano de cola,OK
FECHA INVÁLIDA,Escenario Bosque,Laberinto,23.00,1600,,,OK
16/07/2026,Esc. Bosque,Los Eternos,00.00,2:30,23:00,,OK
17/07/2026,Esc. Bosque,Clave De Sol,15:30,16.00,1400,  Requiere pantalla LED  ,OK
17/07/2026,Esc. Río,Yesca,1800,8:30 PM,,,OK
17/07/2026,Escenario Bosque,Lava,20.00,2100,,,OK
15/07/2026,Esc. Sol,Coral,13.00,2:00 PM,1100,   ,OK
15/07/2026,Escenario Bosque,Enigma,4:30 PM,18:00,15:00,,OK
16/07/2026,Escenario Rio,Vórtice,1830,20:30,1700,Patrocinado por Red Bull,OK
17/07/2026,Escenario Luna,Urano,8:00 PM,21:30,19.00,Posible retraso,OK
15/07/2026,Escenario Bosque,Jungla Urbana,12:30,14:00,11:00,	Equipo propio de sonido	,OK
16/07/2026,Escenario Principal,Corriente Alterna,14:00,15:00,13.00,Posible retraso,OK
15/07/2026,Escenario Bosque,Lux,9:30 PM,2200,20.00,IMPORTANTE: carga eléctrica extra,OK
16/07/2026,Escenario Rio,Nómada,01:30,02:00,,IMPORTANTE: carga eléctrica extra,OK
FECHA INVÁLIDA,Escenario Bosque,Sin Datos,9:00 PM,2300,,,REVISAR
16/07/2026,Escenario Luna,Los Eternos,1900,20:00,17:00,"
Cambio de última hora
",OK
16/07/2026,Escenario Luna,Callejón Sin Salida,20:00,21:00,,  Requiere pantalla LED  ,OK
15/07/2026,Escenario Luna,Zodíaco,23.30,0:00 AM,22.00,Posible retraso,OK
17/07/2026,Escenario Sol,Los Satélites,2:30 PM,16:00,1300,IMPORTANTE: carga eléctrica extra,OK
15/07/2026,Escenario Principal,Prisma,18.30,8:30 PM,17.00,,OK
16/07/2026,Escenario Principal,Oleaje,15:00,1630,,IMPORTANTE: carga eléctrica extra,OK
17/07/2026,Esc. Sol,Café Quemado,1:30 PM,2:30 PM,12:00,Artista confirmado,OK
15/07/2026,Esc. Bosque,Rayo,22.00,00:00,,  Sin requisitos especiales ,OK
17/07/2026,Escenario Bosque,Los Descalzos,22:30,23.00,21.00,Artista confirmado,OK
15/07/2026,Escenario Luna,Iris,9:00 PM,2230,,,OK
17/07/2026,Escenario Luna,Ecos Del Sur,18:30,2000,1600,  Sin requisitos especiales ,OK
17/07/2026,Escenario Rio,Quintaesencia,0:30,0130,2300,Posible retraso,OK
17/07/2026,Escenario Luna,Impulso,1300,1500,12:00,  Sin requisitos especiales ,OK
17/07/2026,Escenario Luna,Clave De Sol,3:00 PM,17:30,,Patrocinado por Red Bull,OK
15/07/2026,Escenario Sol,El Circo Eléctrico,19:00,20.30,1800,Artista confirmado,OK
17/07/2026,Escenario Luna,Prisma,11.30,13:30,1000,,OK
17/07/2026,Escenario Río,Alma Negra,21.30,23:00,19.00,,OK
17/07/2026,Escenario Luna,Vendaval,5:00 PM,18:00,4:00 PM,   ,OK
15/07/2026,Esc. Bosque,Pólvora,1800,19.30,17:00,  Requiere pantalla LED  ,OK
17/07/2026,Escenario Bosque,Beto Y Los Fugitivos,13:00,14:00,11:00 AM,IMPORTANTE: carga eléctrica extra,OK
15/07/2026,Escenario Principal,Rocío,13:00,1500,,   ,OK
16/07/2026,Esc. Luna,Amanecer,11:30 AM,13:00,9:00,   ,OK
16/07/2026,Esc. Río,Mosaico,04:00,06.30,02:00,Artista confirmado,OK
16/07/2026,Esc. Bosque,Mármol,10:00 PM,18:00,4:00 PM,Error horario posible,OK
17/07/2026,Escenario Bosque,Tercer Acto,21.00,22:30,,Patrocinado por Red Bull,OK
16/07/2026,Sin Datos,Zodíaco,,3:00 PM,,,OK
16/07/2026,Esc. Principal,Impulso,11:00 AM,12:00,09.00,IMPORTANTE: carga eléctrica extra,OK
16/07/2026,Escenario Sol,Los Vagabundos,11:00,12:00 PM,10.00,Patrocinado por Red Bull,OK
17/07/2026,Escenario Principal,La Tribu,14:00,15:00,1:00 PM,,OK
16/07/2026,Escenario Luna,Vendaval,22:00,18:00,4:00 PM,Error horario posible,OK
16/07/2026,Escenario Sol,Oasis Sonoro,13.30,3:00 PM,11:00 AM,IMPORTANTE: carga eléctrica extra,OK
16/07/2026,Escenario Luna,Kaleidoscopio,1:00 PM,3:30 PM,11.00,,OK
17/07/2026,Esc. Luna,Alquimia,01.30,02:00,11:00 PM,,OK
15/07/2026,Main Stage,Mármol,2100,22:00,2000,   ,OK
15/07/2026,Esc. Bosque,Crepúsculo,2:00 PM,16:00,12:00 PM,  Sin requisitos especiales ,OK
17/07/2026,Escenario Bosque,Quirón,14.00,1500,1:00 PM,,OK
17/07/2026,Escenario Sol,Jardín Secreto,16.00,6:00 PM,1500,  Requiere pantalla LED  ,OK
16/07/2026,Esc. Bosque,Rocío,15:30,17.00,14.00,  Requiere pantalla LED  ,OK
15/07/2026,Escenario Principal,Wisteria,4:00 PM,18.30,2:00 PM,,OK
15/07/2026,Esc. Sol,Despertar,14.30,16:30,1200,,OK
17/07/2026,Escenario Luna,Eclipse Total,11:00 PM,01:00,,Posible retraso,OK
